순위,제목,저자
1,만일 내가 인생을 다시 산다면,김혜남
2,매일 하면 좋은 생각,김유진
3,부자 아빠 가난한 아빠 20주년 특별 기념판,저자 로버트 기요사키 지음 / 안진환 옮김
4,변화하는 세계 질서,"레이 달리오 지음 / 송이루,조용빈 옮김"
5,만일 내가 인생을 다시 산다면,김혜남
6,불편한 편의점,김호연 지음
7,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조미사키 지음, 권영주 옮김"
8,역행자,자청
9,데일리 필로소피,"라이언 홀리데이, 스티븐 핸슬먼 지음 / 장원철 옮김"
10,라플라스의 마녀,히가시노 게이고 지음 / 양윤옥 옮김
11,불편한 편의점,김호연 지음
12,가난해지지 않는 마음,양다솔
13,불편한 편의점 2,김호연
14,트렌드 코리아 2023,"김난도, 전미영, 최지혜, 이수진, 권정윤, 이준영, 이향은, 한다혜, 이혜원, 추예린"
15,물고기는 존재하지 않는다,룰루 밀러 / 정지인
16,하얼빈,김훈
17,잘될 수밖에 없는 너에게,최서영
18,작별 인사,김영하
19,알아두면 쓸데 있는 유쾌한 상식사전 1 : 일상생활 편,조홍석
20,달 드링크 서점,서동원
21,인생직업 플레이어 1권,글삼
22,트렌드 코리아 2023,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린"
23,대한민국 산업지도 2023,이래학
24,순간을 믿어요 1화,이석원
25,머니 트렌드 2023,"부동산읽어주는남자(정태익) ,김도윤, 김경민, 김상균, 전영수, 최준철, 홍춘욱"
26,나는 미니멀 유목민입니다,박건우(미니멀유목민)
27,마흔에 읽는 니체,장재형
28,완전히 불완전한 1권,몸서리
29,불편한 편의점 2,김호연
30,레버리지,롭 무어 지음 / 김유미 옮김
31,물고기는 존재하지 않는다,룰루 밀러 / 정지인
32,[독점] 연락해요,송민선
33,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음
34,데일 카네기 인간관계론,"데일카네기 지음, 임상훈 옮김"
35,지적 대화를 위한 넓고 얕은 지식 0(제로),채사장 지음
36,인스타 브레인,"안데르스한센 지음, 김아영 옮김"
37,멸망한 세계의 시간 능력자 1권,월천
38,구의 증명,최진영 지음
39,가재가 노래하는 곳,"델리아 오언스 (지은이), 김선형 (옮긴이)"
40,어쩐지 고전이 읽고 싶더라니 ,김훈종 지음
41,아주 작은 반복의 힘,로버트 마우어
42,데일 카네기 자기관리론,"데일카네기 지음, 임상훈 옮김"
43,사피엔스,"유발하라리 지음, 조현욱 옮김"
44,달러구트 꿈 백화점,이미예 지음
45,돈의 속성 200쇄 개정증보판,김승호 지음
46,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드 지은이/ 토마스 산체스 그림 / 박미경 옮김
47,포식한 던전으로 사상 최강 1권,눌프
48,달러구트 꿈 백화점,이미예 지음
49,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음
50,나도 모르는 내 마음의 심리법칙,야오야오 / 김진아
51,데일 카네기 인간관계론,"데일카네기 지음, 임상훈 옮김"
52,"하루 한 편, 세상에서 가장 짧은 명작 읽기 1",송정림 지음
53,이상한 과자 가게 전천당 1,히로시마 레이코
54,신경 끄기 연습,나이토 요시히토 지음 / 김한나 옮김
55,어른 공부,양순자 / 박용인
56,데일 카네기 자기관리론,"데일카네기 지음, 임상훈 옮김"
57,이과장 생존기 1권,불량집사
58,지구에서 영어생활자로 살아남는 법,백애리
59,돈을 부르는 100가지 생각,나가마쓰 시게히사 / 박연정 
60,클루지,"개리마커스 지음, 최호영 옮김"
61,거의 모든 일상 표현의 영어,"케빈 강, 해나 변"
62,좋은 어른이 되고 싶어,안소정
63,영어회화 100일의 기적(개정판),문성현
64,철학을 잊은 리더에게,기시미 이치로 지음
65,매일을 헤엄치는 법 ,이연
66,불안,알랭 드 보통
67,금혼령 1,천지혜
68,"아무튼, 현수동",장강명
69,알아두면 쓸데 있는 유쾌한 상식사전 1 : 일상생활 편,조홍석 지음
70,게으른 뇌에 행동 스위치를 켜라,오히라 노부타카
71,타이탄의 도구들(블랙 에디션),"팀페리스 지음 / 박선령, 정지현 옮김"
72,부자의 그릇,이즈미 마사토 저/김윤수 역
73,기분이 태도가 되지 않게,"레몬심리 지음, 박영란 옮김"
74,천 원을 경영하라,박정부
75,마케팅 설계자 ,러셀 브런슨 지음 / 이경식 옮김
76,철수 삼촌,김남윤
77,쿼런틴,그렉 이건 / 김상훈
78,"고인물, 망나니로 살아남기 1권","사는게죄, 맹물사탕"
79,아 잠깐만! 나 또 강해짐 1권,김판
80,모든 것은 기본에서 시작한다,손웅정
81,거꾸로 읽는 세계사 ,유시민
82,부의 추월차선 10주년 기념 에디션,엠제이 드마코 저  / 신소영
83,스카이 버스,분당강쌤
84,기분이 태도가 되지 않게,"레몬심리 지음, 박영란 옮김"
85,스카이 버스,분당강쌤
86,나미야 잡화점의 기적,히가시노 게이고 지음 / 양윤옥 옮김
87,장사의 신 : 200쇄 기념 블랙에디션,우노 다카시 지음 / 김문정 옮김
88,"어머니, 사교육을 줄이셔야 합니다",정승익
89,"어서 오세요, 휴남동 서점입니다",황보름
90,부자의 그릇,"이즈미마사토 지음, 김윤수 옮김"
91,타인의 마음,"김경일, 사피엔스 스튜디오"
92,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드 지은이/ 토마스 산체스 그림 / 박미경 옮김
93,참 괜찮은 태도,박지현
94,인생을 숙제처럼 살지 않기로 했다,웃따
95,심리학이 제갈량에게 말하다 1,천위안 / 정주은
96,나의 첫사랑에게,박혜민
97,단 한 번밖에 살 수 없다면 인문고전을 읽어라,김부건
98,메멘토 모리,이어령 저 / 김태완 편
99,과학드림의 이상하게 빠져드는 과학책,김정훈(과학드림)
100,불편한 편의점,김호연 지음
