category,subject,writer,publisher,date,checkout,like
[자연/과학],물고기는 존재하지 않는다,룰루 밀러,곰출판,2022-01-19,누적대출 168,추천 2
[경제/비즈니스],트렌드 코리아 2023,"김난도, 전미영, 최지혜, 이수진, 권정윤, 이준영, 이향은, 한다혜, 이혜원, 추예린",미래의창,2022-10-06,누적대출 137,추천 1
[문학],불편한 편의점,김호연,나무옆의자,2022-02-22,누적대출 139,추천 0
[경제/비즈니스],역행자,자청,웅진지식하우스,2022-06-13,누적대출 171,추천 0
[문학],가녀장의 시대,이슬아,이야기장수,2022-10-19,누적대출 90,추천 0
[문학],"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021-10-21,누적대출 100,추천 1
[문학],지구 끝의 온실,김초엽,자이언트북스,2022-04-21,누적대출 123,추천 0
[문학],달러구트 꿈 백화점,이미예,북닻,2020-07-28,누적대출 190,추천 4
[문학],미드나잇 라이브러리,매트 헤이그,인플루엔셜,2021-05-25,누적대출 321,추천 2
[경제/비즈니스],신경 끄기의 기술,마크 맨슨,갤리온,2017-11-01,누적대출 1017,추천 2
[문학],파친코 1,이민진,인플루엔셜,2022-09-27,누적대출 43,추천 0
[경제/비즈니스],20대라면 무조건 써먹는 경제상식,김종선,팬덤북스,2011-11-02,누적대출 640,추천 1
[문학],불편한 편의점 2,김호연,나무옆의자,2022-12-02,누적대출 19,추천 0
[인문],1일 1페이지 짧고 깊은 지식수업 365 (통찰력 편),김옥림,미래북,2022-03-16,누적대출 21,추천 0
[문학],달러구트 꿈 백화점 2,이미예,팩토리나인,2021-08-03,누적대출 122,추천 1
[문학],멋진 신세계,올더스 헉슬리,소담출판사,2018-06-22,누적대출 545,추천 2
[인문],미움받을 용기,"기시미 이치로, 고가 후미타케",인플루엔셜,2017-01-05,누적대출 492,추천 2
[문학],살인자의 기억법,김영하,문학동네,2013-08-28,누적대출 970,추천 4
[문학],이토록 평범한 미래,김연수,문학동네,2022-10-07,누적대출 38,추천 0
[에세이/산문],천문학자는 별을 보지 않는다,심채경,문학동네,2021-04-27,누적대출 45,추천 0
